Price;Bedrooms;Floorplans;Address
$1,350;;;3502 W Grace St, Chicago IL
$1,400;;;4042 W Addison St #2, Chicago IL
$1,250;;;4957 N Albany Ave, Chicago IL
$700+;Studio - 1 Bed;5 floorplans;4100 N. Keystone, Chicago IL
$2,600;;;3241 W Wilson Ave #1, Chicago IL
$1,200;;;N Harding Ave #2E, Chicago IL
$1,450;;;5140 N ALBANY #G, Chicago IL
$1,175;;;4816 N Springfield Ave, Chicago IL
$1,595;;;3842 N Bernard St, Chicago IL
$1,295;2 Beds;1 floorplan;4801 N. Ridgeway, Chicago IL
$1,050;;;W Addison St, Chicago IL
$1,300;;;4903 W Cullom Ave, Chicago IL
$825+;Studio - 1 Bed;3 floorplans;4824 W Addison St, Chicago IL
$1,300;;;6216 N Mozart St #1n, Chicago IL
$2,200;2 Beds;1 floorplan;3917 N. Kedzie, Chicago IL
$1,050;1 Bed;1 floorplan;4314-18 N. Spaulding 3303-35 W.Pensacola, Chicago IL
$965;1 Bed;1 floorplan;5024-30 N. Springfield, Chicago IL
$2,525;;;2720 W Winnemac Ave, Chicago IL
$995;;;4212 North Bernard Street, Chicago IL
$1,195;;;4515 N Hamlin Ave #1, Chicago IL
$1,950;;;5744 N Christiana Ave #1n, Chicago IL
$1,325;;;4420 N St Louis Ave, Chicago IL
$1,295;3 Beds;1 floorplan;4456-58 N. Kedzie Ave / 3205-11 W. Sunnydale, Chicago IL
$1,875;;;4922 N Spaulding Ave #1, Chicago IL
$1,050;;;3748 W Irving Park Rd, Chicago IL
$1,650;;;4731 N Monticello Ave #2, Chicago IL
$1,500;;;4644 N Drake Ave, Chicago IL
$3,700;;;4900 N Hamlin Ave, Chicago IL
$2,700;;;4812 W Montrose Ave #301, Chicago IL
$1,525;;;4619 N Hamlin Ave #2r, Chicago IL
$1,335;2 Beds;1 floorplan;3821-23 N. Monticello, Chicago IL
$1,300;;;5422 N Kimball Ave #2, Chicago IL
$2,999;;;3815 N Kedzie Ave #4n, Chicago IL
$1,000;2 Beds;1 floorplan;5309-11 S. Kostner Ave, Chicago IL
$1,600;;;248 W 31st St #3R, Chicago IL
$1,400;;;475 W 24th St #3D, Chicago IL
$1,895;;;239 W 18th St #2D, Chicago IL
$2,100+;2 Beds;2 floorplans;1900 S. Clark St., Chicago IL
$1,100;2 Beds;1 floorplan;2910 S Wentworth, Chicago IL
$1,750;;;3013 S Wells St #3, Chicago IL
$1,300;;;2932 S Wentworth Ave #4NE, Chicago IL
$3,300;;;2115 S Tan Ct, Chicago IL
$1,429;;;7952 S Kolin Ave, Chicago IL
$1,700;;;7901 S Sacramento Ave, Chicago IL
$925;;;4300 W Ford City Dr #203, Chicago IL
$1,250;;;7428 S Oakley Ave, Chicago IL
$950;;;7330 S Artesian Ave #2, Chicago IL
$925;;;4300 W Ford City Dr #309A, Chicago IL
$1,110+;4 Beds;1 floorplan;7949 S Paulina, Chicago IL
$745+;1 Bed;1 floorplan;7800-06 S Morgan, Chicago IL
$835+;2 - 3 Beds;2 floorplans;7755 S Sangamon St, Chicago IL
$825;2 Beds;1 floorplan;8000 S Paulina, Chicago IL
$710;2 Beds;1 floorplan;1514-20 W 77th, Chicago IL
$850+;2 Beds;1 floorplan;7701 S Ashland, Chicago IL
$880+;2 Beds;1 floorplan;7653 S Loomis Blvd, Chicago IL
$810;1 Bed;1 floorplan;8057 S Laflin Ave, Chicago IL
$710+;2 Beds;1 floorplan;7655 S Sangamon, Chicago IL
$775;2 Beds;1 floorplan;7701 S May, Chicago IL
$785+;2 Beds;1 floorplan;7954 S Justine St, Chicago IL
$925+;2 Beds;1 floorplan;7757 S Peoria, Chicago IL
$820+;2 Beds;1 floorplan;7754 S Loomis, Chicago IL
$825+;1 - 2 Beds;2 floorplans;8259 S Elizabeth St, Chicago IL
$920+;3 Beds;1 floorplan;1415-25 W 80th, Chicago IL
$660;1 Bed;1 floorplan;8100-04 S Marshfield, Chicago IL
$1,070;4 Beds;1 floorplan;7800 S Ashland Ave, Chicago IL
$660+;Studio - 1 Bed;2 floorplans;8256 S Loomis Blvd, Chicago IL
$795;2 Beds;1 floorplan;7751-57 S Loomis Blvd, Chicago IL
$665+;1 Bed;1 floorplan;7812 S Emerald Ave, Chicago IL
$965+;2 Beds;1 floorplan;2610 N Laramie Ave, Chicago IL
$1,100;;;7714 S Loomis Blvd #1, Chicago IL
$1,020;;;7945 S Laflin St, Chicago IL
$1,250;;;8030 S Emerald Ave #2, Chicago IL
$1,300;;;8513 S Sangamon St #2, Chicago IL
$1,400;;;7806 S Winchester Ave #3, Chicago IL
$1,150;;;1352 W 80th St #1W, Chicago IL
$1,020;2 Beds;1 floorplan;7945 S. Laflin Street, Chicago IL
$1,253;2 Beds;1 floorplan;7701 S Green St. (NEW II), Chicago IL
$800;2 Beds;1 floorplan;8000-02 S Marshfield 1639-45 W 80th Str, Chicago IL
$1,350;;;7647 South Sangamon Street, Chicago IL
$1,150;;;7921 S Union Ave, Chicago IL
$900;;;7757 S Marshfield Ave #1A, Chicago IL
